,FilePath,Error
0,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220616\ccrs\75\50\TRIAL_220616_142553_00542_FBl_26_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 3932, saw 214
"
1,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\50\TRIAL_220617_121403_00579_FBl_26_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 3188, saw 214
"
2,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\30\TRIAL_220621_094407_00694_FBl_26_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 2873, saw 214
"
3,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut10 ufo30\TRIAL_220621_123618_00750_FBl_26_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 2401, saw 214
"
4,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut10 ufo45\TRIAL_220621_133942_00796_FBl_26_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 1454, saw 214
"
5,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut20 ufo30\TRIAL_220621_132708_00788_FBl_26_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 2578, saw 214
"
6,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut20 ufo60\TRIAL_220622_101521_00843_FBl_26_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 3578, saw 214
"
7,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220623\cpla\60\TRIAL_220623_092104_00175_FBs_32_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 546, saw 214
"
8,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220623\cpla\70\TRIAL_220623_092245_00177_FBs_32_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 935, saw 214
"
9,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220623\cpla\80\TRIAL_220623_092607_00183_FBs_32_AUTOSAVE.trial,"Error tokenizing data. C error: Expected 211 fields in line 3526, saw 214
"
