,Name,Information,Timestamp[ms],Date[MM.dd.yyyy],Time[hh:mm:ss.fff],Gpstime[ms],GnssStatus,Lat[wgs84],Lng[wgs84],Height[m],Heading[°],Velocity[m/s],Velocity[km/h],Acceleration[m/s²],North[m],East[m],Name.1,Information.1,Timestamp[ms].1,Date[MM.dd.yyyy].1,Time[hh:mm:ss.fff].1,Gpstime[ms].1,GnssStatus.1,Lat[wgs84].1,Lng[wgs84].1,Height[m].1,Heading[°].1,Velocity[m/s].1,Velocity[km/h].1,Acceleration[m/s²].1,North[m].1,East[m].1,Distance[m],YawRate[deg/s],vY[m/s],Lateral Distance[m],Forward Distance[m],GeoDistance[m],DistanceFromOrigin[m],Name.2,Information.2,Timestamp[ms].2,Date[MM.dd.yyyy].2,Time[hh:mm:ss.fff].2,Gpstime[ms].2,GnssStatus.2,Lat[wgs84].2,Lng[wgs84].2,Height[m].2,Heading[°].2,Velocity[m/s].2,Velocity[km/h].2,Acceleration[m/s²].2,North[m].2,East[m].2,YawRate[deg/s].1,Lateral Distance FBVut[m],Forward Distance FBVut[m],GeoDistanceVutFB[m],Forward Distance FBVut Offsettet[m],SyncByte,MessageID,PayLoadLen,ObjIndex,MsgTimeStamp,Version_Major,Version_Minor,vut_Timestamp,vut_lat_spec,vut_lon_spec,vut_lat_used,vut_lon_used,vut_heading_spec,vut_heading,vut_yawrate,vut_vx_spec,vut_vy_spec,vut_vx,vut_vy,vut_posy_err,vut_posx_err,vut_lat_extend,vut_long_extend,vut_lat,vut_lon,pf_Timestamp,pf_lat_used,pf_lon_used,pf_lat,pf_lon,pf_vx,pf_vy,pf_heading,pf_yawrate,pf_trackingangle,pf_sa,pf_sa_err,pf_accx,pf_accy,pf_accz,pf_sats,pf_diffage,pf_navstatus,pf_can_lat,pf_can_lon,pf_can_tow,MC_Index,MC_P_Speed_Index,MC_P_Current_Index,MC_I_Speed_Index,MC_I_Current_Index,MC_Temp_Index,MC_Errorstate_Index,MC1_Vbat,MC2_Vbat,MC3_Vbat,MC1_Amot,MC2_Amot,MC3_Amot,MC1_ActSpeed,MC2_ActSpeed,MC3_ActSpeed,MC_SetSpeed,MC1_SetSpeed,MC2_SetSpeed,MC3_SetSpeed,SC_StatusBit_write,SC_Counts_Out,SC_PI_write,SC_Dint_write,SC_ParaSet_write,SC_Encoder_read,SC_Amp_read,SC_V_read,SC_PI_read,SC_Dint_read,SC_ParaReq_read,SC_NCT_read,SC_StatusBit_read,SC_Errorbyte,SC_P,SC_I,SC_D,Gas_PI,Gas_D,pf_posy_err,pf_posx_err,pf_heading_err,Gas_Out,SC_Out1,SC_Out2,pf_scenctrl_set,pf_scenctrl_act,pf_TTC,vut_TTC,pf_lat_spec,pf_lon_spec,pf_heading_spec,pf_yawrate_spec,pf_radius_spec,pf_vx_spec,pf_accx_spec,Statusbyte,Errorbyte,MultiMessageIndex,MultiMessageContent,BatteryInfo,RESERVED_LREAL0,RESERVED_LREAL1,RESERVED_REAL0,RESERVED_REAL1,RESERVED_REAL2,RESERVED_REAL3,RESERVED_UDINT0,RESERVED_UDINT1,RESERVED_UDINT2,RESERVED_UINT0,RESERVED_UINT1,RESERVED_INT0,RESERVED_INT1,CRC,robot_SyncByte,robot_MessageId,robot_PayloadLen,robot_ObjIndex,robot_MsgTimestamp,robot_lat,robot_lon,robot_vel,robot_acc,robot_heading,robot_Timestamp,robot_yawrate,robot_ReservedGps,robot_IsDataToUse,robot_Ai0,robot_Ai1,robot_Ai2,robot_Ai3,robot_sw_angle,robot_sw_torque,robot_sw_vel,robot_f_brake,robot_pos_thr,robot_brake_pos,robot_ReservedSignal,PackageCounter,robot_CRC,OpticalBsm,OpticalFcw,OpticalLdw
0,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,10,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697570,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.7023773,277.4232864,0.013933023,0.050158881,0.054989372,-4.114153459,40.16666214,0.245950802,0.000124988,0.00637407,0.006266738,0.245870952,0.245950802,0.245950802,RobotVut,,35697570,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.5239258,276.4483414,0.011096503,0.03994741,1.237877509,-8.43941883,68.08892493,0.123180434,-0.681496379,-28.24708981,28.25530959,-28.24708981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697570,50.23566613,14.93011737,0.003972704,0.5457829,276.4483,35697570,0.1231804,0.1231804,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279108,0,0,0,0
1,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,20,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697580,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.7024841,277.4237061,0.014441624,0.051989848,0.050072994,-4.114173348,40.16667065,0.245931138,0.011146856,0.006822549,0.006275243,0.245851065,0.245931138,0.245931138,RobotVut,,35697580,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.5234985,276.4522552,0.037851735,0.136266244,1.143936963,-8.439100588,68.08892387,0.49684751,-0.680955321,-28.24704162,28.25524837,-28.24704162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697580,50.23566613,14.93011737,0.001149534,-0.9194479,276.4523,35697580,0.4968475,0.4968475,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279109,0,0,0,0
2,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,30,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697590,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.7025757,277.4238968,0.014868192,0.053525493,0.076029506,-4.114186608,40.16667915,0.245918097,0.01553789,0.007037783,0.006283748,0.245837802,0.245918097,0.245918097,RobotVut,,35697590,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.5235138,276.4530716,0.031330677,0.112790438,1.19763668,-8.439054178,68.08896214,-0.356452316,-0.68079836,-28.2470657,28.25526866,-28.2470657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697590,50.23566613,14.93011737,-0.00726701,-0.6080999,276.4531,35697590,-0.3564523,-0.3564523,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279110,0,0,0,0
3,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,40,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697600,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.7026825,277.4237595,0.014287868,0.051436324,0.078119703,-4.114213129,40.16668341,0.245891695,0.007301639,0.006677204,0.006288001,0.245811283,0.245891695,0.245891695,RobotVut,,35697600,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.523941,276.4496231,0.022068915,0.079448093,1.212712512,-8.43938568,68.08900041,-0.181496173,-0.681164057,-28.24713721,28.25534896,-28.24713721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697600,50.23566613,14.93011737,-0.005009701,1.044084,276.4496,35697600,-0.1814962,-0.1814962,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279111,0,0,0,0
4,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,50,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697610,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.702774,277.423851,0.014200352,0.051121268,0.034782722,-4.114239648,40.16669191,0.245865401,0.027626228,0.006758137,0.006296505,0.245784762,0.245865401,0.245865401,RobotVut,,35697610,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.523941,276.4484329,0.01025227,0.03690817,1.250416483,-8.43950502,68.08898553,0.108369283,-0.681214024,-28.24712709,28.25534005,-28.24712709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697610,50.23566613,14.93011737,0.00414338,0.5075563,276.4484,35697610,0.1083693,0.1083693,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279112,0,0,0,0
5,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,60,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697620,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.7028656,277.423645,0.0140853,0.050707081,0.032578979,-4.114266169,40.16670467,0.245839215,0.014851112,0.006387391,0.006309263,0.245758241,0.245839215,0.245839215,RobotVut,,35697620,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.5234985,276.4521484,0.04121795,0.14838462,1.21284003,-8.439200039,68.08898394,0.543639898,-0.680988684,-28.24706758,28.25527513,-28.24706758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697620,50.23566613,14.93011737,0.000723556,-0.9960307,276.4521,35697620,0.5436399,0.5436399,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279113,0,0,0,0
6,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,70,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697630,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.7029572,277.4237289,0.013508442,0.048630392,0.031966092,-4.114292689,40.16671317,0.245812923,-0.046731517,0.005348432,0.006317768,0.245731722,0.245812923,0.245812923,RobotVut,,35697630,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.5234985,276.4531784,0.029923311,0.10772392,1.184068301,-8.439140368,68.08903018,-0.335978299,-0.680856977,-28.24709487,28.25529923,-28.24709487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697630,50.23566613,14.93011737,-0.007937665,-0.6175673,276.4532,35697630,-0.3359783,-0.3359783,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279114,0,0,0,0
7,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,80,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697640,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.703064,277.4236832,0.014404907,0.051857664,0.023398326,-4.114325839,40.16672168,0.245780003,0.05726682,0.006866573,0.006326273,0.245698572,0.245780003,0.245780003,RobotVut,,35697640,16.06.2022,54:57.6,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.523941,276.4499588,0.025226236,0.090814448,1.216577966,-8.43945198,68.08907536,-0.228598148,-0.681150995,-28.24716667,28.2553781,-28.24716667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697640,50.23566613,14.93011737,-0.005367456,1.082493,276.45,35697640,-0.2285981,-0.2285981,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279115,0,0,0,0
8,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,90,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697650,16.06.2022,54:57.7,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.7031555,277.423645,0.013770612,0.049574204,0.047951651,-4.114358989,40.16673018,0.245747082,-0.01215722,0.005756089,0.006334777,0.245665421,0.245747082,0.245747082,RobotVut,,35697650,16.06.2022,54:57.7,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.5239563,276.4489365,0.007297635,0.026271485,1.208992226,-8.439558062,68.08906314,0.065258116,-0.681244745,-28.24715508,28.25536878,-28.24715508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697650,50.23566613,14.93011737,0.004222149,0.502784,276.4489,35697650,0.06525812,0.06525812,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279116,0,0,0,0
9,PAUSE#PAUSE#a=0#v0=0#vE=0#d=0#t=20,,100,01.01.0001,00:00.0,-6.24516E+13,,50.2357028,14.92972591,0,0,0,0,0,-4.360024413,40.16039541,FBl_26,,35697660,16.06.2022,54:57.7,1.33941E+12,INS_SOLUTION_GOOD,50.23570501,14.929726,199.7032471,277.4234085,0.014018363,0.050466105,0.089198025,-4.114392139,40.16673869,0.245714164,0.04715956,0.006314666,0.006343282,0.245632272,0.245714164,0.245714164,RobotVut,,35697660,16.06.2022,54:57.7,1.33941E+12,INS_SOLUTION_GOOD,50.23566613,14.93011737,200.5235443,276.4526825,0.034618803,0.12462769,1.165598057,-8.439259709,68.08905942,0.45693171,-0.681034144,-28.24709732,28.25530595,-28.24709732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,74,1,35697660,50.23566613,14.93011737,0.001160457,-0.9432775,276.4527,35697660,0.4569317,0.4569317,1,-32768,-32768,-32768,-32768,0,0,0,0,0,0,0,279117,0,0,0,0
